,0,1,2,3
0,.Trash-1000,files,1X4Gfy7Noo_0_000000001121_000100000000.mat,23447.0
1,.Trash-1000,info,1X4Gfy7Noo_0_000000001103_000500000000.mat.trashinfo,183.0
2,.Trash-1000,info,cam6_base_1888.png.trashinfo,149.0
3,.Trash-1000,info,evaluation_report_split_last.3.pdf.trashinfo,191.0
4,.Trash-1000,info,scdt_info.2.trashinfo,131.0
5,.dlsdata,,,0.0
6,auto.prod.sz,groups,4d-autolabeling,3838060396417.0
7,auto.prod.sz,users,.vscode,38.0
8,auto.prod.sz,users,boyce.chen,370840511844.0
9,auto.prod.sz,users,dwyane.yang,469078842413.0
10,auto.prod.sz,users,finley.zhang,3013246753459.0
11,auto.prod.sz,users,jeffery,25278788286186.0
12,auto.prod.sz,users,jenkin.lu,283867017185.0
13,auto.prod.sz,users,user,0.0
14,auto.test.sz,log,upload,181693291.0
15,data,backup,ab,19875982526502.0
16,data,tCPzAbXCg5_000000001165_000300000000.jpg,,976950.0
17,data,tCPzAbXCg5_000000001170_000000000000.jpg,,1123593.0
18,data,tCPzAbXCg5_000000001170_000200000000.jpg,,1116734.0
19,data,tCPzAbXCg5_000000001171_000100000000.jpg,,1093071.0
20,data,tCPzAbXCg5_000000001171_000200000000.jpg,,1096949.0
21,data,tCPzAbXCg5_000000001172_000000000000.jpg,,1095365.0
22,data,tCPzAbXCg5_000000001172_000500000000.jpg,,1101326.0
23,data,tCPzAbXCg5_000000001174_000700000000.jpg,,1127253.0
24,data,tCPzAbXCg5_000000001176_000000000000.jpg,,1126221.0
25,data,tCPzAbXCg5_000000001177_000400000000.jpg,,1109146.0
26,data,tCPzAbXCg5_000000001179_000500000000.jpg,,1107273.0
27,data,tCPzAbXCg5_000000001181_000100000000.jpg,,1076483.0
28,data,tCPzAbXCg5_000000001181_000900000000.jpg,,1074059.0
29,data,users,binwhu,460245679566.0
30,data,vdbench50407.zip,,3124848.0
31,data,xx2,tCPzAbXCg5_000000001167_000000000000.jpg,1158968.0
32,data,xx2,tCPzAbXCg5_000000001171_000100000000.jpg,1093071.0
33,data,xx2,tCPzAbXCg5_000000001172_000600000000.jpg,1128970.0
34,data,xx2,tCPzAbXCg5_000000001173_000700000000.jpg,1112807.0
35,data,xx2,tCPzAbXCg5_000000001174_000700000000.jpg,1127253.0
36,data,xx2,tCPzAbXCg5_000000001176_000900000000.jpg,1105116.0
37,data,xx2,tCPzAbXCg5_000000001181_000800000000.jpg,1094073.0
38,data,xx2,tCPzAbXCg5_000000001182_000300000000.jpg,1101115.0
39,data,xx2,tCPzAbXCg5_000000001183_000200000000.jpg,1102187.0
40,data,xx2,tCPzAbXCg5_000000001184_000700000000.jpg,1086170.0
41,data,xx2,tCPzAbXCg5_000000001191_000400000000.jpg,1143458.0
42,data,xx2,tCPzAbXCg5_000000001191_000500000000.jpg,1142162.0
43,data,xx2,tCPzAbXCg5_000000001191_000700000000.jpg,1122993.0
44,data,xx2,tCPzAbXCg5_000000001209_000700000000.jpg,1218425.0
45,data,xx2,tCPzAbXCg5_000000001212_000200000000.jpg,1169261.0
46,data,xx2,tCPzAbXCg5_000000001213_000100000000.jpg,1223041.0
47,data,xx2,tCPzAbXCg5_000000001214_000600000000.jpg,1170692.0
48,data,xx2,tCPzAbXCg5_000000001243_000000000000.jpg,1068718.0
49,data,xx2,tCPzAbXCg5_000000001243_000100000000.jpg,1072846.0
50,data,xx2,tCPzAbXCg5_000000001246_000700000000.jpg,1216550.0
51,data,xx2,tCPzAbXCg5_000000001246_000900000000.jpg,1206795.0
52,data,xx2,tCPzAbXCg5_000000001293_000400000000.jpg,1284731.0
53,data,xx2,tCPzAbXCg5_000000001296_000400000000.jpg,1208993.0
54,data,xx2,tCPzAbXCg5_000000001296_000500000000.jpg,1218898.0
55,data,xx2,tCPzAbXCg5_000000001307_000400000000.jpg,1330694.0
56,data,xx2,tCPzAbXCg5_000000001309_000500000000.jpg,1324848.0
57,data,xx2,tCPzAbXCg5_000000001310_000100000000.jpg,1344390.0
58,data,xx2,tCPzAbXCg5_000000001312_000200000000.jpg,1321012.0
59,data,xx2,tCPzAbXCg5_000000001342_000500000000.jpg,1271734.0
